sku;name;category;stock;unit;costPrice;price;minStock
A-001;Acco plastik Joyko;ATK;182,00;Dus;7.600,00;12.000,00;50,00
A-002;Amplop 90 PPL;ATK;37,00;Dus;16.138,00;22.000,00;30,00
A-003;Amplop 90 J -plus;ATK;0,00;Dus;16.666,00;22.500,00;30,00
A-004;Amplop 90 J -plus Jendela Kiri;ATK;44,00;Dus;37.500,00;51.000,00;30,00
A-005;Amplop 90 J -plus Jendela Kanan;ATK;22,00;Dus;37.500,00;51.000,00;30,00
A-006;Amplop 90 Garda;ATK;0,00;Dus;19.500,00;26.500,00;30,00
A-007;Amplop 90 PPL Gold;ATK;48,00;Dus;16.000,00;22.000,00;30,00
A-008;Amplop 90 Royal;ATK;0,00;Dus;14.500,00;21.000,00;30,00
A-009;Amplop 110 PPL;ATK;11,00;Dus;16.397,00;22.500,00;30,00
A-010;Amplop 110 Royal;ATK;0,00;Dus;15.500,00;21.000,00;30,00
A-011;Amplop 110 PPL Gold;ATK;56,00;Dus;9.750,00;13.500,00;30,00
A-012;Amplop 104 Garda;ATK;0,00;Dus;14.500,00;20.000,00;60,00
A-013;Amplop 104 Paperline;ATK;189,00;Dus;11.180,00;15.500,00;60,00
A-014;Amplop Merpati Kecil ( 110 x70 );ATK;23,00;Dus;8.250,00;11.500,00;30,00
AC-001;Amplop Cklt DF Garda;ATK;3,00;Pak;92.000,00;124.500,00;10,00
AC-002;Amplop Cklt DF BHG;ATK;0,00;Pak;65.000,00;88.000,00;10,00
AC-003;Amplop Cklt A3 Garda;ATK;0,00;Pak;72.500,00;98.000,00;10,00
AC-004;Amplop Cklt Supermap Garda;ATK;1,00;Pak;63.000,00;86.000,00;10,00
AC-005;Amplop Cklt Super Cabinet Garda;ATK;54,00;Pak;24.500,00;33.500,00;10,00
AC-006;Amplop Cklt Cabinet Neuro;ATK;0,00;Pak;15.000,00;22.000,00;20,00
AC-007;Amplop Cklt Q Garda;ATK;6,00;Pak;29.000,00;39.500,00;10,00
AC-008;Amplop Cklt Map Neuro;ATK;0,00;Pak;38.000,00;51.500,00;10,00
AC-009;Amplop Cklt Map Garda;ATK;0,00;Pak;52.000,00;70.500,00;10,00
AC-010;Amplop Cklt F4 GARDA;ATK;0,00;Pak;38.000,00;52.000,00;10,00
AC-011;Amplop Cklt F4 JAYA + Lem;ATK;0,00;Pak;103.000,00;140.000,00;10,00
AC-012;Amplop PUTIH F4 GAND + Lem;ATK;5,00;Pak;60.000,00;81.000,00;10,00
AC-013;Amplop PUTIH F4  + Lem  Neuro;ATK;5,00;Pak;62.500,00;84.500,00;10,00
AC-014;Amplop Cklt A4 Garda;ATK;1,00;Pak;37.500,00;51.000,00;10,00
AC-015;Amplop Cklt 1/2 F4 Garda/GAND;ATK;0,00;Pak;24.000,00;34.000,00;10,00
AC-016;Amplop Cklt F4 Tl Polos 310;ATK;0,00;Pak;109.000,00;147.500,00;10,00
AC-017;Amplop Cklt F4 Tl Airmail 310 GRS (100);ATK;3,00;Pak;78.500,00;106.000,00;10,00
AC-018;Amplop Cklt A3 Tl BHG 312 (50) GRS;ATK;3,00;Pak;109.000,00;147.500,00;10,00
AC-019;Amplop Cklt F4 Tl BHG 310 (50) GRS;ATK;0,00;Pak;40.500,00;55.000,00;10,00
AC-020;Amplop Cklt F4 Tl Airmail 310 (50) GRS;Bot;0,00;Pak;37.500,00;55.000,00;10,00
AC-021;Amplop Cklt F4 Tl Executive 310 (50) GRS;ATK;4,00;Pak;40.000,00;54.000,00;10,00
AC-022;Amplop Cklt A3 Tl Airmail Polos 312;ATK;0,00;Pak;84.300,00;114.000,00;10,00
AC-023;Amplop CD HVS Hologram;ATK;0,00;Pak;23.500,00;32.000,00;10,00
