Kode Item;Nama Item;Jenis;Merek;Rak;Tipe Item;Konversi;Satuan;Harga Pokok;Harga Level 1;Harga Level 2;Harga Level 3;Harga Level 4;Keterangan
A-001;Acco plastik Joyko;ATK;Acco plastik Joyko;R8;INV;1;Dus;7600;12000;13500;0;0;
A-001;Acco plastik Joyko;ATK;Acco plastik Joyko;R8;INV;10;Pak;76000;108000;0;0;0;
A-002;Amplop 90 PPL;ATK;Amplop 90 PPL;R8;INV;1;Dus;17513;24000;26500;0;0;
A-002;Amplop 90 PPL;ATK;Amplop 90 PPL;R8;INV;5;Ball;87565;108000;0;0;0;
A-003;Amplop 90 J -plus;ATK;Amplop 90 J -plus;R8;INV;1;Dus;16666;22500;25000;0;0;
A-003;Amplop 90 J -plus;ATK;Amplop 90 J -plus;R8;INV;6;Ball;99996;121500;0;0;0;
A-004;Amplop 90 J -plus Jendela Kiri;ATK;Amplop 90 J -plus Jendela Kiri;R8;INV;1;Dus;37500;51000;56500;0;0;
A-004;Amplop 90 J -plus Jendela Kiri;ATK;Amplop 90 J -plus Jendela Kiri;R8;INV;6;Ball;225000;275500;0;0;0;
A-005;Amplop 90 J -plus Jendela Kanan;ATK;Amplop 90 J -plus Jendela Kanan;R8;INV;1;Dus;37500;51000;56500;0;0;
A-005;Amplop 90 J -plus Jendela Kanan;ATK;Amplop 90 J -plus Jendela Kanan;R8;INV;6;Ball;225000;275500;0;0;0;
A-006;Amplop 90 Garda;ATK;Amplop 90 Garda;R8;INV;1;Dus;19500;26500;29500;0;0;
A-006;Amplop 90 Garda;ATK;Amplop 90 Garda;R8;INV;5;Ball;97500;119500;0;0;0;
A-007;Amplop 90 PPL Gold;ATK;Amplop 90 PPL Gold;R8;INV;1;Dus;16000;22000;24500;0;0;
A-007;Amplop 90 PPL Gold;ATK;Amplop 90 PPL Gold;R8;INV;5;Ball;80000;99000;0;0;0;
A-008;Amplop 90 Royal;ATK;Amplop 90 Royal;R8;INV;1;Dus;14500;21000;23500;0;0;
A-008;Amplop 90 Royal;ATK;Amplop 90 Royal;R8;INV;5;Ball;72500;94500;0;0;0;
A-009;Amplop 110 PPL;ATK;Amplop 110 PPL;R8;INV;1;Dus;16397;22500;25000;0;0;
A-009;Amplop 110 PPL;ATK;Amplop 110 PPL;R8;INV;5;Ball;81985;101500;0;0;0;
A-010;Amplop 110 Royal;ATK;Amplop 110 Royal;R8;INV;1;Dus;15500;21000;23500;0;0;
A-010;Amplop 110 Royal;ATK;Amplop 110 Royal;R8;INV;5;Ball;77500;94500;0;0;0;
A-011;Amplop 110 PPL Gold;ATK;Amplop 110 PPL Gold;R8;INV;1;Dus;9750;13500;15000;0;0;
