No.;Kode Item;Nama Item;Jenis;Stok;Satuan;Qty / Paket;Satuan;Harga Pokok;Harga Level 1;Harga Level 2;Harga Level 3
1;A-001;Acco plastik Joyko;ATK;175;Dus;1;Dus;7600;12000;13500;0
2;A-001;Acco plastik Joyko;ATK;17,5;Pak;10;Dus;76000;108000;0;0
3;A-002;Amplop 90 PPL;ATK;64;Dus;1;Dus;17513;24000;26500;0
4;A-002;Amplop 90 PPL;ATK;12,8;Ball;5;Dus;87565;108000;0;0
5;A-003;Amplop 90 J -plus;ATK;0;Dus;1;Dus;16666;22500;25000;0
6;A-003;Amplop 90 J -plus;ATK;0;Ball;6;Dus;99996;121500;0;0
7;A-004;Amplop 90 J -plus Jendela Kiri;ATK;44;Dus;1;Dus;37500;51000;56500;0
8;A-004;Amplop 90 J -plus Jendela Kiri;ATK;7,33;Ball;6;Dus;225000;275500;0;0
9;A-005;Amplop 90 J -plus Jendela Kanan;ATK;20;Dus;1;Dus;37500;51000;56500;0
10;A-005;Amplop 90 J -plus Jendela Kanan;ATK;3,33;Ball;6;Dus;225000;275500;0;0
11;A-006;Amplop 90 Garda;ATK;0;Dus;1;Dus;19500;26500;29500;0
12;A-006;Amplop 90 Garda;ATK;0;Ball;5;Dus;97500;119500;0;0
13;A-007;Amplop 90 PPL Gold;ATK;48;Dus;1;Dus;16000;22000;24500;0
14;A-007;Amplop 90 PPL Gold;ATK;9,6;Ball;5;Dus;80000;99000;0;0
15;A-008;Amplop 90 Royal;ATK;0;Dus;1;Dus;14500;21000;23500;0
16;A-008;Amplop 90 Royal;ATK;0;Ball;5;Dus;72500;94500;0;0
17;A-009;Amplop 110 PPL;ATK;10;Dus;1;Dus;16397;22500;25000;0
18;A-009;Amplop 110 PPL;ATK;2;Ball;5;Dus;81985;101500;0;0
19;A-010;Amplop 110 Royal;ATK;0;Dus;1;Dus;15500;21000;23500;0
20;A-010;Amplop 110 Royal;ATK;0;Ball;5;Dus;77500;94500;0;0
21;A-011;Amplop 110 PPL Gold;ATK;56;Dus;1;Dus;9750;13500;15000;0
22;A-011;Amplop 110 PPL Gold;ATK;11,2;Ball;5;Dus;48750;49500;0;0
23;A-012;Amplop 104 Garda;ATK;0;Dus;1;Dus;14500;20000;22000;0
24;A-012;Amplop 104 Garda;ATK;0;Ball;5;Dus;72500;90000;0;0
25;A-013;Amplop 104 Paperline;ATK;164;Dus;1;Dus;11180;15500;17500;0
26;A-013;Amplop 104 Paperline;ATK;32,8;Ball;5;Dus;55900;70000;0;0
27;A-014;Amplop Merpati Kecil ( 110 x70 );ATK;23;Dus;1;Dus;8250;11500;13000;0
28;A-014;Amplop Merpati Kecil ( 110 x70 );ATK;4,6;Ball;5;Dus;41250;52000;0;0
29;AC-001;Amplop Cklt DF Garda;ATK;3;Pak;1;Pak;92000;124500;137000;0
30;AC-002;Amplop Cklt DF BHG;ATK;0;Pak;1;Pak;65000;88000;97000;0
31;AC-003;Amplop Cklt A3 Garda;ATK;0;Pak;1;Pak;72500;98000;108000;0
32;AC-004;Amplop Cklt Supermap Garda;ATK;1;Pak;1;Pak;63000;86000;95000;0
33;AC-005;Amplop Cklt Super Cabinet Garda;ATK;44;Pak;1;Pak;24500;33500;37000;0
34;AC-006;Amplop Cklt Cabinet Neuro;ATK;0;Pak;1;Pak;15000;22000;24500;0
35;AC-007;Amplop Cklt Q Garda;ATK;6;Pak;1;Pak;29000;39500;43500;0
36;AC-008;Amplop Cklt Map Neuro;ATK;0;Pak;1;Pak;38000;51500;57000;0
37;AC-009;Amplop Cklt Map Garda;ATK;0;Pak;1;Pak;52000;70500;78000;0
38;AC-010;Amplop Cklt F4 GARDA;ATK;0;Pak;1;Pak;38000;52000;57500;0
39;AC-011;Amplop Cklt F4 JAYA + Lem;ATK;0;Pak;1;Pak;103000;140000;154000;0
40;AC-012;Amplop PUTIH F4 GAND + Lem;ATK;9;Pak;1;Pak;62500;84500;93000;0
41;AC-013;Amplop PUTIH F4  + Lem  Neuro;ATK;5;Pak;1;Pak;62500;84500;93000;0
42;AC-014;Amplop Cklt A4 Garda;ATK;1;Pak;1;Pak;37500;51000;56500;0
43;AC-015;Amplop Cklt 1/2 F4 Garda/GAND;ATK;0;Pak;1;Pak;24000;34000;38000;0
44;AC-016;Amplop Cklt F4 Tl Polos 310;ATK;0;Pak;1;Pak;109000;147500;162500;0
45;AC-017;Amplop Cklt F4 Tl Airmail 310 GRS (100);ATK;3;Pak;1;Pak;78500;106000;117000;0
46;AC-018;Amplop Cklt A3 Tl BHG 312 (50) GRS;ATK;3;Pak;1;Pak;109000;147500;162500;0
47;AC-019;Amplop Cklt F4 Tl BHG 310 (50) GRS;ATK;0;Pak;1;Pak;40500;55000;0;0
48;AC-020;Amplop Cklt F4 Tl Airmail 310 (50) GRS;Bot;0;Pak;1;Pak;37500;55000;60500;0
49;AC-021;Amplop Cklt F4 Tl Executive 310 (50) GRS;ATK;14;Pak;1;Pak;38000;51500;57000;0
50;AC-022;Amplop Cklt A3 Tl Airmail Polos 312;ATK;0;Pak;1;Pak;84300;114000;125500;0
51;AC-023;Amplop CD HVS Hologram;ATK;0;Pak;1;Pak;23500;32000;35500;0
52;AC-024;Amplop Cklt F4 Garda(STOK KOSONG);ATK;0;PAK;1;PAK;38000;52000;57500;0
53;AC-025;Amplop Cklt F4 GAND;ATK;1;Pak;1;Pak;33000;45000;49500;0
54;AC-026;Amplop Coklat Supermap GAND;ATK;6;Pak;1;Pak;52500;71000;78500;0
55;AC-027;Amplop Cklt A4 Gand;ATK;0;Pak;1;Pak;30500;43500;48000;0
56;AC-028;Amplop Cklt Cabinet Gand;ATK;48;Pak;1;Pak;14642;20000;22000;0
57;AC-029;Amplop Cklt F4 WPS;ATK;-14;Pak;1;Pak;31000;42000;46500;0
58;AC-030;Amplop Cklt A4 WPS;ATK;6;Pak;1;Pak;32500;44000;48500;0
59;AC-031;Amplop Cklt F4 Gand + Lem;ATK;11;Pak;1;Pak;38500;52000;57500;0
60;AC-032;Amplop Cklt A4 309 Polos Tali;ATK;5;Pak;1;Pak;112000;151500;167000;0
61;AC-033;Amplop Cklt Cabinet WPS;ATK;0;Pak;1;Pak;15000;26500;29500;0
62;AC-034;Amplop Cklt A3 Gand;ATK;10;Pak;1;Pak;72500;98000;108000;0
63;AC-035;Amplop Cklt Cabinet Excekutif;ATK;40;Pak;1;Pak;15000;20500;23000;0
64;B-001;Bateray ABC Besar;ATK;25;Bh;1;Bh;7083;10000;11000;0
65;B-001;Bateray ABC Besar;ATK;1,04;Pak;24;Bh;169992;216000;0;0
66;B-002;Bateray ABC Kecil A2;ATK;-10;Bh;1;Bh;2395;3500;4000;0
67;B-002;Bateray ABC Kecil A2;ATK;-0,42;Pak;24;Bh;57480;76000;0;0
68;B-003;Bateray ABC Kotak 9 Volt Super power;ATK;0;Bh;1;Bh;8500;11500;13000;0
69;B-003;Bateray ABC Kotak 9 Volt Super power;ATK;0;Pak;12;Bh;102000;124500;0;0
70;B-004;Bateray ABC Tanggung;ATK;66;Bh;1;Bh;4583;6500;7500;0
71;B-004;Bateray ABC Tanggung;ATK;2,75;Pak;24;Bh;109992;140500;0;0
72;B-005;Bateray Alkalin A2;ATK;355;Set;1;Set;12500;17000;19000;0
73;B-005;Bateray Alkalin A2;ATK;14,79;Pak;24;Set;300000;367500;0;0
74;B-006;Bateray Alkalin A3;ATK;337;Set;1;Set;12256;17000;19000;0
75;B-006;Bateray Alkalin A3;ATK;14,04;Pak;24;Set;294144;367500;0;0
76;B-007;Bateray Alkalin Kotak 9V;ATK;11;Bh;1;Bh;31666;43000;47500;0
77;B-007;Bateray Alkalin Kotak 9V;ATK;0,92;Pak;12;Bh;379992;464500;0;0
78;B-008;Bateray Energizer A2;ATK;34;Set;1;Set;12000;16500;18500;0
79;B-008;Bateray Energizer A2;ATK;2,83;Pak;12;Set;144000;178000;0;0
80;B-009;Bateray Energizer A3;ATK;0;Set;1;Set;12000;16500;18500;0
81;B-009;Bateray Energizer A3;ATK;0;Pak;12;Set;144000;178000;0;0
82;B-010;Benang kasur No 60;ATK;30;Roll;1;Roll;5500;7500;8500;0
83;B-010;Benang kasur No 60;ATK;3;Pak;10;Roll;55000;67500;0;0
84;B-011;Bateray Panasonic 2032;ATK;38;Bh;1;Bh;7000;10000;11000;0
85;B-011;Bateray Panasonic 2032;ATK;7,6;Set;5;Bh;35000;45000;0;0
86;B-012;Bateray ABC 9V Super Power;ATK;12;Bh;1;Bh;13750;19000;21000;0
87;B-012;Bateray ABC 9V Super Power;ATK;1;Pak;12;Bh;165000;205500;0;0
88;BAG-001;Bag File Kancing Imco Bening;ATK;329;Bh;1;Bh;3500;5000;5500;0
89;BAG-001;Bag File Kancing Imco Bening;ATK;27,42;Pak;12;Bh;21000;54000;0;0
90;BAG-002;Bag File Kancing Imco Merah;ATK;208;Bh;1;Bh;3500;5000;5500;0
91;BAG-002;Bag File Kancing Imco Merah;ATK;17,33;Pak;12;Bh;42000;54000;0;0
